key,is_bi,lstm_layers,lstm_hidden_dim,out_layers,special_tokens,tag_mode,loss,accuracy,f1,explained_variance,alpha
bi_1_128_1_#ow_all,True,1,128,1,#ow,all,3.4456111590067544,0.4500197470188141,0.27774389683745027,-0.21938802082176204,35.92225945618246
bi_1_128_1_#ow_first,True,1,128,1,#ow,first,1.4190229574839275,0.5652447938919067,0.48049965576947784,0.03938949090899346,20.65164000666013
bi_1_128_1_#ow_last,True,1,128,1,#ow,last,1.453890283902486,0.560621976852417,0.4744016717984855,-0.03656235208719005,21.345547843257954
bi_1_128_1_#ow_terminal,True,1,128,1,#ow,terminal,2.4976218541463218,0.432548850774765,0.33019819535355605,-0.2006324990577304,29.26376605839016
bi_1_128_1_bow_all,True,1,128,1,bow,all,3.2159266471862793,0.4546666741371155,0.2824522577339984,-0.23669011853431535,34.58867464994042
bi_1_128_1_bow_first,True,1,128,1,bow,first,1.4523573716481526,0.5553687810897827,0.4658727569195254,0.030857684708635036,21.34770088421652
bi_1_128_1_bow_last,True,1,128,1,bow,last,1.519203821818034,0.5738600492477417,0.48445253997617177,0.01991123225258762,30.682697859084115
bi_1_128_1_bow_terminal,True,1,128,1,bow,terminal,2.4345622062683105,0.5076696872711182,0.359544851816567,-0.0246177204504594,39.46079293156454
bi_1_128_1_eow_all,True,1,128,1,eow,all,3.1513946056365967,0.47955554723739624,0.31247613811553615,-0.2540089085609203,31.940730367177277
bi_1_128_1_eow_first,True,1,128,1,eow,first,1.476188103357951,0.5833157896995544,0.5029855941679857,0.10929076115294879,25.420133049872465
bi_1_128_1_eow_last,True,1,128,1,eow,last,1.5100719928741455,0.5305736064910889,0.4408303878565667,-0.08914611128697825,22.10107896318691
bi_1_128_1_eow_terminal,True,1,128,1,eow,terminal,2.378113031387329,0.5132380723953247,0.3978350652276674,-0.07580112949055073,34.96194799894039
bi_1_128_1__all,True,1,128,1,,all,3.0683182080586753,0.48742544651031494,0.2673654756055839,-0.30659717532004316,27.721882650733814
bi_1_128_1__first,True,1,128,1,,first,1.6993077993392944,0.5931918025016785,0.4901801386079136,0.04350979599211169,40.495250293832946
bi_1_128_1__last,True,1,128,1,,last,2.0853010018666587,0.5963437557220459,0.43419533198529314,0.10314744619316739,42.82168292965453
bi_1_128_1__terminal,True,1,128,1,,terminal,2.729114373524984,0.4626246988773346,0.3025342810679829,-0.2932577959718834,36.76086207708969
bi_1_16_1_#ow_all,True,1,16,1,#ow,all,3.5078808466593423,0.43591544032096863,0.25645863718823547,-0.20860569835890663,32.0428648171314
